item_number,item_description,pack,bottle_volume_ml,id_category
173,Laphroaig w/ Whiskey Stones,12,750,1701100
220,Calumet Farm Bourbon VAP,6,750,1701100
237,Knob Creek w/ Crystal Decanter,3,1750,null
238,Forbidden Secret Coffee Pack,6,1500,1701100
249,Disaronno Amaretto Cavalli Mignon 3-50ml Pack,20,150,null
258,"Rumchata ""GoChatas""",1,6000,1081200
297,Templeton Rye w/Flask,6,750,null
312,Crown Royal Tailgate Pack w/2 Reusable Glasses,6,750,1701100
314,Crystal Head w/Shaker,4,750,1701100
315,Wyborowa Vodka w/2 Shot Glasses,6,750,1701100
322,Itty Bitty Juggs Sample Pack,24,200,1081900
324,Bailey's Original Irish Cream Multi Pack,30,200,1701100
327,Remy V w/Glass,6,750,1701100
333,Jack Daniels TN Honey & Jack Daniels TN Fire 750mls w/2Gls,4,1500,null
335,Licor 43 w/2 Cocktail Glasses,6,750,1701100
339,Kinky Vodka Martini Pack,6,3600,1701100
349,Skyy Bundle Up,12,750,1701100
352,Blackheart Playboy Edition,12,750,1701100
353,Cointreau w/ Lime Squeezer,6,750,1701100
361,Bailey's Original Irish Cream w/4 Shot Glasses,6,750,1701100
363,Bird Dog Bourbon w/4-50mls,6,950,1701100
365,Bird Dog Peach w/4-50mls,6,950,1701100
366,Bird Dog Peach w/ BBQ Sauce,6,750,1701100
401,Basil Hayden w/ Shaker,6,750,1701100
402,Disaronno Amaretto Cavalli w/2 Glasses,6,750,1701100
403,Jim Beam w/ Barbecue Sauce,6,750,1701100
407,Jim Beam w/3-50mls,6,900,1701100
409,Jim Beam Black w/4-50mls,6,950,1701100
411,Jim Beam Black w/Grill Mitt,6,750,1701100
413,Jim Beam White Triage,6,750,1701100
424,Jim Beam White w/3-50mls,6,750,1701100
428,Jim Beam Black w/2 Glasses,6,750,1701100
433,Jim Beam White w/Sports Glasses,6,750,1701100
434,Jim Beam White w/2 Glasses,6,750,1701100
447,Knob Creek w/Glasses,6,750,1701100
454,Knob Creek w/2 Whiskey Stones,6,750,1701100
456,Knob Creek w/2-50mls,6,850,1701100
457,Maker's Mark Co-Pack,6,750,1701100
464,Glenmorangie Pioneer Pack,6,2550,1012210
470,Jack Daniels w/Glass,6,750,1701100
472,Jack Daniels Tennessee Honey w/Glass,6,750,1701100
475,Southern Comfort w/Shot Glass & Lanyard,12,750,null
477,Admiral Nelson Black Patch Mini Counter Unit,10,600,1062300
483,Absolut Electrik w/2 Glasses,6,750,1701100
488,St Germain w/Mini Carafe,6,200,1701100
490,Jameson Trilogy Pack,10,600,1701100
492,Belvedere Pure 007 w/ Martini Shaker,6,750,1701100
494,Grey Goose w/2 Martini Glasses,3,1750,1701100
519,Skyy Citrus w/4 - 50ml,6,950,1701100
525,Maker's Mark Recipe and Glasses,6,750,1701100
552,Menage a Trois VAP,6,750,1701100
553,Cruzan Coconut w/ Mason Jar Dispenser,6,750,1701100
554,Cruzan Aged Light w/ Mason Jar Dispenser,6,750,1701100
558,Crown Royal w/2 Glasses,4,1750,1701100
561,Ardbeg 10YR Exploration Pack,6,850,1701100
571,Jack Daniels Music Carton w/2 Glasses,6,750,1701100
574,Tooters Rainbow 12 Pack,1,4500,1081900
580,Ole Smoky Apple Pie w/Flask,6,750,1701100
593,Kinky Blue 375ml & Pink 375ml w/2 Shot Glasses,6,750,1701100
594,Opulent w/Shaker,3,1750,1701100
597,Wild Turkey Cocktail Aging Kit,6,750,1701100
619,Absolut Ruby Red w/ Grapefruit Juice,6,750,1701100
629,Absolut w/Powell & Mahoney Bloody Mary Mix,6,750,1701100
632,Death's Door Gin & Tonic,6,750,1701100
633,Stoli Variety Mini Bar,24,250,1701100
641,Stoli Vodka w/4 cans of Ginger Beer,6,1750,1701100
643,Jose Cuervo Silver w/1L Classic Margarita Mix,6,750,1701100
644,Firefly Moonshine 4-200ml,6,800,1701100
647,Kahlua w/Absolut 50ml & White Russian Glass,6,800,1701100
658,Grand Marnier w/50ml Raspberry Peach,6,800,1701100
661,El Mayor 50ml Trial Pack,20,150,1701100
663,Disaronno Amaretto w/Sour Mix,12,750,1701100
665,Bird Dog Blackberry w/4-50mls,6,950,1701100
680,Malibu w/50ml Black & Red,12,850,1701100
686,Bird Dog Peach w/4-50mls,6,950,1701100
692,Crown Royal 1.75L w/50ml CR Maple & CR Black Tray Pack,6,1850,1701100
693,Jack Daniel's TN Honey w/Flask,6,750,1701100
